               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038398,            0.025187,           0.0015135,             0.73097,               0.628,              0.6841,             0.42493,            0.037511,            0.019453,           0.0018681,            0.008845,            0.008845,            0.008845
                  37,            0.038133,            0.025134,           0.0017002,             0.73759,             0.65601,             0.69525,             0.41928,            0.037165,            0.019455,          0.00059282,            0.008812,            0.008812,            0.008812
                  38,            0.038304,            0.025218,           0.0016583,             0.71464,             0.64251,             0.68619,             0.42199,            0.037369,            0.019511,          0.00090043,            0.008779,            0.008779,            0.008779
                  39,            0.038151,            0.025119,           0.0016291,              0.7019,              0.6661,             0.69158,             0.43437,            0.036686,            0.019725,          0.00058984,            0.008746,            0.008746,            0.008746
                  40,            0.038206,            0.024848,           0.0016022,              0.7285,             0.62958,             0.67051,              0.4132,            0.038094,            0.020162,          0.00077846,            0.008713,            0.008713,            0.008713
                  41,            0.037822,            0.024533,           0.0014615,             0.73163,             0.64098,             0.67932,             0.42527,            0.036689,            0.019843,          0.00055006,             0.00868,             0.00868,             0.00868
                  42,            0.037222,            0.024382,           0.0012553,             0.74303,             0.63781,             0.70076,             0.43479,             0.03718,             0.01986,          0.00068176,            0.008647,            0.008647,            0.008647
                  43,            0.037446,            0.024867,           0.0013902,             0.76685,             0.62075,              0.6994,              0.4296,            0.037507,            0.019269,           0.0007627,            0.008614,            0.008614,            0.008614
                  44,            0.037388,            0.024529,           0.0013651,             0.74272,             0.64515,             0.69174,             0.43291,            0.037685,            0.019631,          0.00065727,            0.008581,            0.008581,            0.008581
                  45,             0.03744,             0.02452,           0.0014365,             0.72565,              0.6385,             0.68789,             0.42866,            0.037558,            0.019597,          0.00079753,            0.008548,            0.008548,            0.008548
                  46,            0.036993,            0.024543,           0.0012673,             0.73842,             0.63953,             0.68869,             0.42063,            0.037506,            0.019529,          0.00058472,            0.008515,            0.008515,            0.008515
                  47,            0.037301,            0.024332,           0.0014544,              0.7097,             0.63576,             0.67941,             0.40673,            0.037104,            0.019877,           0.0017174,            0.008482,            0.008482,            0.008482
                  48,            0.037029,            0.024332,           0.0012072,              0.7192,             0.66186,             0.69628,             0.42593,            0.037002,            0.019427,          0.00056083,            0.008449,            0.008449,            0.008449
                  49,            0.036735,             0.02374,           0.0014087,             0.73413,             0.64495,             0.66957,             0.41802,               0.037,             0.01972,          0.00084169,            0.008416,            0.008416,            0.008416
                  50,            0.036578,            0.024093,           0.0013314,             0.69238,             0.65389,             0.69275,             0.42974,            0.037118,            0.019969,           0.0019771,            0.008383,            0.008383,            0.008383
                  51,            0.036704,            0.024007,           0.0014099,             0.68849,              0.6835,             0.70446,             0.43545,            0.036619,            0.019894,          0.00084096,             0.00835,             0.00835,             0.00835
                  52,            0.036821,            0.024244,           0.0013305,             0.69976,             0.65645,              0.6817,             0.42988,            0.036384,            0.019899,          0.00089497,            0.008317,            0.008317,            0.008317
                  53,            0.036329,            0.024121,           0.0012484,             0.72927,             0.63841,             0.67795,             0.42874,            0.035934,            0.019554,           0.0010298,            0.008284,            0.008284,            0.008284
                  54,            0.036541,            0.024337,            0.001292,             0.72356,             0.64942,             0.67259,             0.42082,            0.036775,            0.019988,          0.00082851,            0.008251,            0.008251,            0.008251
                  55,            0.036691,            0.023913,            0.001344,             0.73909,             0.57962,             0.65728,             0.40495,            0.037163,            0.020279,          0.00086871,            0.008218,            0.008218,            0.008218
                  56,            0.035888,            0.023449,           0.0013351,              0.7384,               0.663,             0.69417,             0.42651,            0.036552,            0.019962,          0.00068975,            0.008185,            0.008185,            0.008185
